Date Time,Order ID,Amount,Ccy
2025-05-04 05:56:22.097,8-38608-AFpmsWzF6IpIAQun-20250504045620,63.5,780
2025-05-04 05:55:13.680,85-38608-dGNbZhLc7Eo6eWTi-20250504045511,42.9,780
2025-05-04 05:41:12.140,74-38608-3hKnXPgkehMKwACv-20250504044110,32.6,780
2025-05-04 05:16:40.710,64-38608-UMjbFKsg3QgMFwHC-20250504041638,22.3,780
2025-05-04 05:07:29.373,49-38608-dtk755h8IW4M2fC8-20250504040727,140.75,780
2025-05-04 05:05:41.243,71-38608-68AqRvrK1Im5x4RM-20250504040539,310.7,780
2025-05-04 04:58:15.223,45-36977-62YylmViHfYYjJl1-20250504035813,1000.0,780
2025-05-04 04:46:33.433,91-38608-YzeWAhPCFWJKQIfq-20250504034631,248.9,780
2025-05-04 04:40:28.853,69-36977-AtDj1YSElty0tNF8-20250504034027,1000.0,780
2025-05-04 04:24:57.900,2-36977-i8xiGFQY8w7L8jVu-20250504032455,500.0,780
2025-05-04 04:24:08.377,9-36977-PZTN2rFU0BYjJUDJ-20250504032406,2000.0,780
2025-05-04 04:24:05.000,47-38071-Seu4Ho5nrcAV9-20250504032403,22.4,780
2025-05-04 04:16:45.693,30-36977-okPmhCVAzvdDrdlu-20250504031644,3000.0,780
2025-05-04 04:13:07.343,94-36977-V1btLJnIcxysIKZC-20250504031305,500.0,780
2025-05-04 04:08:18.850,30-38608-bRZ1mCP1MAn6W3w6-20250504030817,151.05,780
2025-05-04 04:06:18.967,62-38608-9D87v8rvmLgiLx8S-20250504030617,73.8,780
2025-05-04 04:05:07.483,11-38071-Zhw7DSqRxVnXu-20250504030505,193.18,780
2025-05-04 04:04:46.320,81-38661-Y9c5jWQxCFkfnUEK-20250504030442,1000.0,780
2025-05-04 04:04:45.837,42-38608-xI00byenlz3PhyB8-20250504030442,73.8,780
2025-05-04 03:37:26.007,32-38071-MNtXztUO76lbX-20250504023723,172.48,780
2025-05-04 03:37:06.543,85-49740-F9glTKOOAmf9PQ7V-20250504023704,500.0,780
2025-05-04 03:35:56.297,27-38071-MSgygCtRTsZKV-20250504023554,94.85,780
2025-05-04 03:33:30.950,31-36977-fNKiu4E0VW0S5kMP-20250504023329,500.0,780
2025-05-04 03:31:06.827,51-49740-waPHNMWT0WPfJMSj-20250504023104,500.0,780
2025-05-04 03:31:02.433,64-38071-6GVg4VRB2cC79-20250504023100,43.1,780
2025-05-04 03:29:12.810,52-38661-NPkhzjIJjkMgJG6h-20250504022910,1000.0,780
2025-05-04 03:25:20.020,84-38071-bg8et6e7G3C9t-20250504022518,68.98,780
2025-05-04 03:20:24.640,89-38071-U1hkRLotqzvvl-20250504022022,12.05,780
2025-05-04 03:17:38.683,47-38071-hjc5wKy0obzwb-20250504021736,312.2,780
2025-05-04 03:15:52.057,79-38071-I2fhymgilXNAA-20250504021547,234.58,780
2025-05-04 03:14:16.360,32-38071-ZLxNWaH9zLq14-20250504021414,22.4,780
2025-05-04 03:11:11.587,49-38071-qh9db2WMH9dfc-20250504021109,182.83,780
2025-05-04 03:09:30.563,64-36977-rG72pZ5QUmviHb11-20250504020928,1000.0,780
2025-05-04 03:07:31.247,35-38071-Jyk2OW5RgxPez-20250504020729,136.25,780
2025-05-04 03:05:35.900,30-38071-m1ajKnzJ43bBX-20250504020533,53.45,780
2025-05-04 03:03:15.893,61-38071-AyA1JKt4KN2NS-20250504020313,37.93,780
2025-05-04 03:02:10.203,48-38661-beUcylNY54MoIaIw-20250504020206,300.0,780
2025-05-04 03:01:25.533,39-38071-Id697Lym0F7b6-20250504020122,84.5,780
2025-05-04 03:01:20.143,11-38663-7LKA8qGvnvhgQ0ui-20250504020117,1000.0,780
2025-05-04 03:00:26.370,31-38608-ED9VGL1noQTorzZk-20250504020023,248.9,780
2025-05-04 02:59:23.593,70-38071-FCvLB8WxA8EjF-20250504015921,63.8,780
2025-05-04 02:58:11.807,74-38659-oCPGvRCeclUIIaXs-20250504015809,500.0,780
2025-05-04 02:57:34.337,32-38071-bBumDQUpESHKz-20250504015732,22.4,780
2025-05-04 02:55:42.717,74-36560-n2jjMTmo2gAPQx0Q-20250504015540,5000.0,780
2025-05-04 02:54:30.350,46-38071-aIL7jpfue2bah-20250504015428,84.5,780
2025-05-04 02:52:04.693,76-36977-0ruW35PddCAnenLj-20250504015203,1000.0,780
2025-05-04 02:46:49.577,91-36560-IKb6sh0zVrIMr8jO-20250504014647,1000.0,780
2025-05-04 02:45:32.207,20-36560-bzuTtkALgDwLnjOP-20250504014529,5000.0,780
2025-05-04 02:45:26.907,30-38071-m0NTaYnM0yTPw-20250504014525,27.58,780
2025-05-04 02:45:00.707,10-35651-tJcmI29sWCECBJkg-20250504014458,2000.0,780
2025-05-04 02:44:11.407,59-38071-A9eLMPNLlWdk2-20250504014409,43.1,780
2025-05-04 02:42:40.730,97-38071-AEz3ObkpwrvLm-20250504014238,84.5,780
2025-05-04 02:40:08.657,63-36560-wzAeTA7N5RG2se8O-20250504014003,5000.0,780
2025-05-04 02:39:57.583,74-38071-5dA4Xt7dD3eSG-20250504013955,89.68,780
2025-05-04 02:39:43.513,57-38659-xHNwxo7P6UcCeqUo-20250504013941,500.0,780
2025-05-04 02:38:13.440,13-38663-gWCmyhvccbSVKbgS-20250504013811,1000.0,780
2025-05-04 02:34:29.190,74-36977-Z1luujV68r5hn5cr-20250504013427,500.0,780
2025-05-04 02:27:29.367,48-38071-L03RSfpaN9zRf-20250504012727,151.78,780
2025-05-04 02:26:45.853,93-37032-cS4DAV1cCPMoKmNV-20250504012643,900.0,780
2025-05-04 02:25:18.857,15-38659-KWBx34FVo0xYiuja-20250504012516,500.0,780
2025-05-04 02:24:28.117,71-15089-1939-20250504012348,622.7,780
2025-05-04 02:23:21.060,72-38071-OHN97hNSjiuMZ-20250504012318,89.68,780
2025-05-04 02:20:41.233,13-38663-6cRVJMFR2TK4FTr4-20250504012039,1000.0,780
2025-05-04 02:18:56.803,81-49740-SHSK7gTT5CDYU43Y-20250504011855,5000.0,780
2025-05-04 02:18:12.443,6-38071-NH0YzKKKKUXnr-20250504011810,94.85,780
2025-05-04 02:16:23.330,47-38071-IgygieSt0RQqJ-20250504011621,43.1,780
2025-05-04 02:15:27.697,53-36560-us5RXaWSYn4oZOjp-20250504011525,1000.0,780
2025-05-04 02:15:03.157,6-38071-ZLiWSJbDHSSUE-20250504011500,53.45,780
2025-05-04 02:15:01.843,55-38663-47kG4Gd2SwWU5Ur9-20250504011459,1000.0,780
2025-05-04 02:12:59.270,79-38071-QQN2V6ovZ0Tik-20250504011257,213.88,780
2025-05-04 02:11:30.250,79-38071-wtcc6Zshtc3Mr-20250504011128,79.33,780
2025-05-04 02:09:15.703,13-49740-BdJOIKRylsaUGHbo-20250504010913,5000.0,780
2025-05-04 02:09:05.163,20-38071-Mauaf3hbcZhhf-20250504010901,84.5,780
2025-05-04 02:06:59.873,16-35651-AAPEUkaSuupi0rom-20250504010658,1100.0,780
2025-05-04 02:06:31.363,40-38071-4tGxIjqCi0HrV-20250504010629,94.85,780
2025-05-04 02:04:13.883,30-37032-LgeoB5YLGZx6s4vj-20250504010411,1000.0,780
2025-05-04 01:58:12.810,1-35651-ySBiugcoGLFHLuf4-20250504005810,1000.0,780
2025-05-04 01:57:43.673,24-38071-dM33ICDyEVCxc-20250504005741,63.8,780
2025-05-04 01:52:20.490,18-38138-z88IdxgeQCEtxAnf-20250504005218,300.0,780
2025-05-04 01:51:22.683,97-36977-kWbKeYCMdwhHrLYD-20250504005120,2000.0,780
2025-05-04 01:49:56.790,62-38071-Q0MVQc77hpL3l-20250504004954,177.65,780
2025-05-04 01:48:36.973,75-36977-KoUimOKoxcgtv67C-20250504004833,1000.0,780
2025-05-04 01:48:13.980,78-35651-TLonSQaqmB0aBskO-20250504004811,1500.0,780
2025-05-04 01:47:46.420,27-38071-NSeHnxyasJIhU-20250504004744,22.4,780
2025-05-04 01:46:54.193,33-49740-nsfNXDXd0FcQcaCT-20250504004649,500.0,780
2025-05-04 01:46:36.123,79-38661-5kZfYYy1QLY4IUrX-20250504004634,800.0,780
2025-05-04 01:45:46.100,9-38071-ZweGE4ZrWQNbF-20250504004544,156.95,780
2025-05-04 01:43:38.677,90-49740-alpH74eeXl5ptkHl-20250504004336,1000.0,780
2025-05-04 01:41:51.497,42-38659-Lv2nPqxLbVEQPkmV-20250504004147,500.0,780
2025-05-04 01:40:57.393,53-38662-MWHldB2EeUQEK9EF-20250504004055,500.0,780
